name,ruby
アーティファクト,あーてぃふぁくと
エヴォルカイザー,えゔぉるかいざー
ギャラクシーアイズ,ぎゃらくしーあいず
魔術師,ときのまじゅつし
オッドアイズ,おっどあいず
伝説の騎士,でんせつのきし
ハネクリボー,はねくりぼー
スターダスト,すたーだすと
スプラウト,すぷらうと
アルトリウス,あるとりうす
ランスロット,らんすろっと
超重武者,ちょうじゅうむしゃ
幻奏,げんそうのおとめありあ
テラナイト,てらないと
シャドール,しゃどーる
竜星,りゅうせい
EM,えんためいと
チェンジ,ちぇんじ
彼岸,ひがん
U.A.,うるとらあすりーと
DD,でぃーでぃー
ファーニマル,ふぁーにまる
デストーイ,ですとーい
クリフォート,くりふぉーと
ブンボーグ,ぶんぼーぐ
ゴブリン,ごぶりん
外神,がいしん
旧神,きゅうしん
古神,こしん
契約書,けいやくしょ
ガトムズ,がとむず
妖仙獣,まようせんじゅう
影霊衣,ねくろす
霊獣,れいじゅう
霊獣使い,れいじゅうつかい
精霊獣,せいれいじゅう
RR,れいどらぷたーず
インフェルノイド,いんふぇるのいど
人造人間,じんぞうにんげん
暗黒騎士ガイア,あんこくきしがいあ
帝王,ていおう
霊使い,れいつかい
憑依装着,ひょういそうちゃく
宝玉,ほうぎょくじゅう
パワー・ツール,ぱわーつーる
DDD,でぃーでぃーでぃー
ウォリアー,うぉりあー
ブラック・マジシャン・ガール,ぶらっくまじしゃんがーる
エッジインプ,えっじいんぷ
セフィラ,せふぃら
煉獄,れんごく
幻奏の音姫,げんそうのおとひめ
聖霊獣騎,せいれいじゅうき
ステラナイト,すてらないと
Em,えんためいじ
竜剣士,りゅうけんし
イグナイト,いぐないと
アロマ,あろま
ギアギアーノ,ぎあぎあーの
魔装戦士,まそうせんし
イーサルウェポン,いーさるうぇぽん
占術姫,せんじゅつき
アクアリウム,あくありうむ
アクアアクトレス,あくああくとれす
カオス・ソルジャー,かおすそるじゃー
マジェスペクター,まじぇすぺくたー
グレイドル,ぐれいどる
Kozmo,こずも
壊獣,かいじゅう
スピードロイド,すぴーどろいど
PSYフレーム,さいふれーむ
レッド・デーモン,れっどでーもん
バージェストマ,ばーじぇすとま
ダンテ,だんて
破壊剣,はかいけん
ダイナミスト,だいなみすと
不知火,しらぬい
バスター・ブレイダー,ばすたーぶれいだー
竜魔王,りゅうまおう
エクゾディア,えくぞでぃあ
幻影騎士団,ふぁんとむないつ
ファントム,ふぁんとむ
超量,ちょうりょう
超量士,ちょうりょうし
超量機獣,ちょうりょうきじゅう
ブルーアイズ,ぶるーあいず
ホープ,ほーぷ
ムーンライト,むーんらいと
アモルファージ,あもるふぁーじ
エルフの剣士,えるふのけんし
マジシャン・ガール,ぶらっくまじしゃんがーる
メタルフォーゼ,めたるふぉーぜ
トラミッド,とらみっど
A BF,あさるとぶらっくふぇざー
方界,ほうかい
カオス,かおす
サイファー,さいふぁー
花札衛,かーでぃあん
サイレント・ソードマン,さいれんとそーどまん
サイレント・マジシャン,さいれんとまじしゃん
磁石の戦士,まぐねっとうぉりあー
クリボー,くりぼー
クリストロン,くりすとろん
化合獣,かごうじゅうはいどろん
アポクリフォート,あぽくりふぉーと
サブテラー,さぶてらー
サブテラーマリス,さぶてらーまりす
SPYRAL,すぱいらる
SPYRAL GEAR,すぱいらるぎあ
魔界劇団,まかいげきだん
魔界台本,まかいだいほん
WW,うぃんどうぃっち
十二獣,じゅうにしし
ペンデュラム・ドラゴン,ぺんでゅらむどらごん
SPYRAL MISSION,すぱいらるみっしょん
プレデター,ぷれでたー
捕食植物,ぷれでたーぷらんつ
召喚獣,しょうかんじゅう
超重武者装留,ちょうじゅうむしゃそうる
摩天楼,まてんろう
エクシーズ・ドラゴン,えくしーずどらごん
シンクロ・ドラゴン,しんくろどらごん
フュージョン・ドラゴン,ふゅーじょんどらごん
ペンデュラムグラフ,ぺんでゅらむぐらふ
LL,りりかるるすきにあ
覇王門,はおうもん
真竜,しんりゅう
覇王眷竜,はおうけんりゅう
幻煌龍,げんおうりゅう
ペンデュラム,ぺんでゅらむ
ガンドラ,がんどら
トリックスター,とりっくすたー
剛鬼,ごうき
星杯,せいはい
星遺物,せいいぶつ
クリアウィング,くりあうぃんぐ
スターヴ・ヴェノム,すたーゔゔぇのむ
時械神,じかいしん
サイバー・ダーク,さいばーだーく
サイバーダーク,さいばーだーく
ボンディング,ぼんでぃんぐ
コード・トーカー,こーどとーかー
ヴェンデット,ゔぇんでっと
F.A.,ふぉーみゅらあすりーと
ヴァレット,ゔぁれっと
オルターガイスト,おるたーがいすと
クローラー,くろーらー
メタファイズ,めたふぁいず
魔弾,まだん
天気,てんき
パーシアス,ぱーしあす
影六武衆,かげろくぶしゅう
ティンダングル,てぃんだんぐる
ジャックナイツ,じゃっくないつ
魔導獣,まじっくびーすと
進化薬,ちょうしんかやく
ヴァレル,ゔぁれる
アイズ・サクリファイス,あいずさくりふぁいす
アームド・ドラゴン,あーむどどらごん
エレメントセイバー,えれめんとせいばー
霊神,れいしん
トロイメア,とろいめあ
空牙団,くうがだん
閃刀姫,せんとうき
閃刀,せんとう
パラディオン,ぱらでぃおん
魔神儀,でびりちゃる
サイバネット,さいばねっと
サラマングレイト,さらまんぐれいと
ダイナレスラー,だいなれすらー
オルフェゴール,おるふぇごーる
サンダー・ドラゴン,さんだーどらごん
禁じられた,きんじられた
未界域,みかいいき
ワルキューレ,わるきゅーれ
ネフティス,ねふてぃす
プランキッズ,ぷらんきっず
魔妖,まよう
妖刀－不知火,ようとうしらぬい
機械天使,きかいてんし
ローズ・ドラゴン,ろーずどらごん
PSYフレームギア,さいふれーむぎあ
スマイル,すまいる
クロノダイバー,くろのだいばー
無限起動,むげんきどう
ウィッチクラフト,うぃっちくらふと
呪眼,じゅがん
エンディミオン,えんでぃみおん
マリンセス,まりんせす
シムルグ,しむるぐ
天威,てんいりゅう
占い魔女,うらないまじょ
B・F,びーふぉーす
E-HERO,いーびるひーろー
破械,はかい
破械神,はかいしん
夢魔鏡,ゆめまきょう
斬機,ざんき
ドラゴンメイド,どらごんめいど
ジェネレイド,じぇねれいど
Ai,あい
＠イグニスター,あっといぐにすたー
戦華,せんか
メガリス,めがりす
守護神官,しゅごしんかん
未来皇ホープ,みらいおうほーぷ
オノマト,おのまと
ローズ,ろーず
リベリオン,りべりおん
コードブレイカー,こーどぶれいかー
ネメシス,ねめしす
バルバロス,ばるばろす
海造賊,ぷらんどろーる
アダマシア,あだましあ
六花,りっか
エルドリッチ,えるどりっち
黄金郷,おうごんきょう
エルドリクシル,えるどりくしる
幻魔,げんま
ドラグマ,どらぐま
ポータン,ぽーたん
メルフィー,めるふぃー
ローラン,ろーらん
機皇神,きこうしん
化石,かせきはっくつ
ヌメロン,ぬめろん
ゲート・オブ・ヌメロン,げーとおぶぬめろん
機塊,きかい
地霊術,ちれいじゅつ
憑依,ひょうい
火霊術,かれいじゅつ
トライブリゲード,とらいぶりげーど
電脳堺,でんのうかい
双天,そうてん
水霊術,すいれいじゅつ
風霊術,ふうれいじゅつ
電脳堺門,でんのうかいもん
ミュートリア,みゅーとりあ
マギストス,まぎすとす
リィラ,りぃら
キスキル,きすきる
イビルツイン,いびるついん
ライブツイン,らいぶついん
ドライトロン,どらいとろん
スプリガンズ,すぷりがんず
S－Force,せきゅりてぃふぉーす
サクリファイス,さくりふぁいす
サンアバロン,さんあばろん
サンヴァイン,さんゔぁいん
ホーリーナイツ,ほーりーないつ
ドール・モンスター,どーるもんすたー
ウォークライ,うぉーくらい
マテリアクトル,まてりあくとる
アトラクション,あとらくしょん
アメイズメント,あめいずめんと
烙印,らくいん
ゼアル,ぜある
ZS,ぜあるさーばす
RDM,らんくだうんまじっく
溟界,めいかい
ドレミコード,どれみこーど
ベアルクティ,べあるくてぃ
デスピア,ですぴあ
森の聖獣,もりのせいじゅう
森の聖霊,もりのせいれい
魔鍵,まけん
軍貫,ぐんかん
ステルス・クラーゲン,すてるすくらーげん
ヌメロニアス,ぬめろにあす
ナンバーズ,なんばーず
相剣,そうけん
氷水,ひすい
ふわんだりぃず,ふわんだりぃず
トポロジック,とぽろじっく
サンシード,さんしーど
ビートルーパー,びーとるーぱー
ヒュペリオン,ひゅぺりおん
P.U.N.K.,ぱんく
エクソシスター,えくそしすたー
ダイノルフィア,だいのるふぃあ
悪魔嬢,あくまじょう
セブンス,せぶんす
バリアンズ,ばりあんず
リバイアサン,りばいあさん
セリオンズ,せりおんず
スケアクロー,すけあくろー
バーバリアン,ばーばりあん
リブロマンサー,りぶろまんさー
ヴァリアンツ,ゔぁりあんつ
ラビュリンス,らびゅりんす
ウェルカム・ラビュリンス,うぇるかむらびゅりんす
神碑,るーん
スプライト,すぷらいと
ティアラメンツ,てぃあらめんつ
春化精,はるけしょう
もけもけ,もけもけ
ウィングマン,うぃんぐまん
A宝玉獣,あどばんすどほうぎょくじゅう
らくがきちょう,らくがきちょう
らくがきじゅう,らくがきじゅう
Gゴーレム,じーごーれむ
架け橋,かけはし
ゴーティス,ごーてぃす
ビーステッド,びーすてっど
クシャトリラ,くしゃとりら
R－ACE,れすきゅーえーす
ピュアリィ,ぴゅありぃ
御巫,みかんこ
儀水鏡,ぎすいきょう
焔聖騎士,えんせいきし
ラビリンス・ウォール,らびりんすうぉーる
ゲート・ガーディアン,げーとがーでぃあん
GP,ごーるどぷらいど
ファイアウォール,ふぁいあうぉーる
マナドゥム,まなどぅむ
ネムレリア,ねむれりあ
グランドレミコード,ぐらんどれみこーど
フェイバリット,ふぇいばりっと
VS,ゔぁんきっしゅそうる
レシピ,れしぴ
ヌーベルズ,ぬーべるず
ヴィサス,ゔぃさす
焔聖剣,えんせいけん
シンクロ,しんくろ
カウンター,かうんたー
バーニングナックル,ばーにんぐなっくる
地縛,じばく
ティスティナ,てぃすてぃな
ヴェーダ,ゔぇーだ
罪宝,ざいほう
スネークアイ,すねーくあい
ホルス,ほるす
アーマード・エクシーズ,あーまーどえくしーず
ディアベルスター,でぃあべるすたー
聖菓使,ぱてぃしえる
ハート,はーと
メメント,めめんと
センチュリオン,せんちゅりおん
ヴァルモニカ,ゔぁるもにか
ユベル,ゆべる
ゴブリンライダー,ごぶりんらいだー
粛声,しゅくせい
ローガーディアン,ろーがーでぃあん
サラマンドラ,さらまんどら
灰滅,かいめつ
蕾禍,らいか
燦幻,さんげん
天盃龍,てんぱいりゅう
千年,さうざんど
ミレニアム,みれにあむ
白き森,しろきもり
デモンスミス,でもんすみす
エンブレーマ,えんぶれーま
マルチャミー,まるちゃみー
エグゾード,えぐぞーど
タキオン,たきおん
青い涙,あおいなみだ
石版,せきばん
シャーク,しゃーく
シャーク・ドレイク,しゃーくどれいく
メタル化,めたるか
原石,げんせき
六武式,ろくぶしき
アザミナ,あざみな
モルガナイト,もるがないと
祝台,しゅくだい
ライゼオル,らいぜおる
M∀LICE,まりす
竜華,りゅうげ
ARG☆S,あるごすたーず
アクア・ジェット,あくあじぇっと
グラディアル,ぐらでぃある
ディアベル,でぃあべる
リジェネシス,りじぇねしす
征竜,せいりゅう
ドミナス,どみなす
