id,name,ruby,ruby_origin
4080,岩石の巨兵,がんせきのきょへい,がんせきのきょへい
4081,人喰い植物,ひとくいしょくぶつ,ひとくいしょくぶつ
4082,クロコダイラス,くろこだいらす,クロコダイラス
4083,グラップラー,ぐらっぷらー,グラップラー
4084,アックス・レイダー,あっくすれいだー,アックス・レイダー
4085,メガザウラー,めがざうらー,メガザウラー
4086,ワイルド・ラプター,わいるどらぷたー,ワイルド・ラプター
4087,屍を貪る竜,しかばねをむさぼるりゅう,しかばねをむさぼるりゅう
4088,真紅眼の黒竜,れっどあいずぶらっくどらごん,レッドアイズ・ブラックドラゴン
4089,闇晦ましの城,やみくらましのしろ,やみくらましのしろ
4090,カードを狩る死神,かーどをかるしにがみ,カードをかるしにがみ
4091,闇魔界の覇王,やみまかいのはおう,やみまかいのはおう
4092,バロックス,ばろっくす,バロックス
4093,ダーク・キメラ,だーくきめら,ダーク・キメラ
4094,メタル・ガーディアン,めたるがーでぃあん,メタル・ガーディアン
4095,カタパルト・タートル,かたぱるとたーとる,カタパルト・タートル
4096,逆転の女神,ぎゃくてんのめがみ,ぎゃくてんのめがみ
4097,ケンタウロス,けんたうろす,ケンタウロス
4098,ミノケンタウロス,みのけんたうろす,ミノケンタウロス
4099,鎧武者斬鬼,よろいむしゃざんき,よろいむしゃザンキ
4100,地を這うドラゴン,ちをはうどらごん,ちをはうドラゴン
4101,マーダーサーカス,まーだーさーかす,マーダーサーカス
4102,鎧武者ゾンビ,よろいむしゃぞんび,よろいむしゃゾンビ
4103,ドラゴン・ゾンビ,どらごんぞんび,ドラゴン・ゾンビ
4104,マーダーサーカス・ゾンビ,まーだーさーかすぞんび,マーダーサーカス・ゾンビ
4105,ゴースト王－パンプキング－,ごーすとおうぱんぷきんぐ,ゴーストおう－パンプキング－
4106,格闘戦士アルティメーター,かくとうせんしあるてぃめーたー,かくとうせんしアルティメーター
4107,邪炎の翼,じゃえんのつばさ,じゃえんのつばさ
4108,闇の仮面,やみのかめん,やみのかめん
4109,転職の魔鏡,てんしょくのまきょう,てんしょくのまきょう
4110,黒魔族のカーテン,くろまぞくのかーてん,くろまぞくのカーテン
4111,トモザウルス,ともざうるす,トモザウルス
4112,風の精霊,かぜのせいれい,かぜのせいれい
4113,シャドウ・ファイター,しゃどうふぁいたー,シャドウ・ファイター
4114,手招きする墓場,てまねきするはかば,てまねきするはかば
4115,心眼の女神,しんがんのめがみ,しんがんのめがみ
4116,東方の英雄,とうほうのえいゆう,とうほうのえいゆう
4117,死の沈黙の天使 ドマ,しのちんもくのてんしどま,しのちんもくのてんし　ドマ
4118,命を食する者,いのちをしょくするもの,いのちをしょくするもの
4119,ダーク・グレイ,だーくぐれい,ダーク・グレイ
4120,白い泥棒,ほわいとしーふ,ホワイト・シーフ
4121,カオス・ウィザード,かおすうぃざーど,カオス・ウィザード
4122,ナイトメア・スコーピオン,ないとめあすこーぴおん,ナイトメア・スコーピオン
4123,本の精霊 ホーク・ビショップ,ほんのせいれいほーくびしょっぷ,ほんのせいれい　ホーク・ビショップ
4124,物陰の協力者,ものかげのきょうりょくしゃ,ものかげのきょうりょくしゃ
4125,地獄の裁判,じごくのさいばん,じごくのさいばん
4126,ドリーム・ピエロ,どりーむぴえろ,ドリーム・ピエロ
4127,眠れる獅子,ねむれるしし,ねむれるシシ
4128,ヤマタノ竜絵巻,やまたのどらごんえまき,ヤマタノドラゴンえまき
4129,ダーク・プラント,だーくぷらんと,ダーク・プラント
4130,アイアン・ハート,あいあんはーと,アイアン・ハート
4131,セイント・バード,せいんとばーど,セイント・バード
4132,戦いの神 オリオン,たたかいのかみおりおん,たたかいのかみ　オリオン
4133,アサシン,あさしん,アサシン
4134,ラムーン,らむーん,ラムーン
4135,眠り子,ねむりこ,ねむりこ
4136,ウェザー・コントロール,うぇざーこんとろーる,ウェザー・コントロール
4137,オクトバーサー,おくとばーさー,オクトバーサー
4138,１３人目の埋葬者,じゅうさんにんめのまいそうしゃ,１３にんめのまいそうしゃ
4139,炎の騎士 キラー,ほのおのきしきらー,ほのおのきし　キラー
4140,聖なる鎖,せいなるくさり,せいなるくさり
4141,死者の腕,ししゃのうで,ししゃのうで
4142,魔人デスサタン,まじんですさたん,まじんデスサタン
4143,なぞの手,なぞのて,なぞのて
4144,竜魂の石像,どらごんそうるすたちゅー,ドラゴン・ソウル・スタチュー
4145,青眼の銀ゾンビ,ぶるーあいどしるばーぞんび,ブルーアイド・シルバーゾンビ
4146,トードマスター,とーどますたー,トードマスター
4147,デビルツムリ,でびるつむり,デビルツムリ
4148,炎を操る者,ほのおをあやつるもの,ほのおをあやつるもの
4149,時の魔人 ネクロランサ,ときのまじんねくろらんさ,ときのまじん　ネクロランサ
4150,風の番人 ジン,かぜのばんにんじん,かぜのばんにん　ジン
4151,魅惑の怪盗,みわくのかいとう,みわくのかいとう
4152,髑髏の寺院,どくろのじいん,ドクロのじいん
4153,モンスター・エッグ,もんすたーえっぐ,モンスター・エッグ
4154,闇を司る影,やみをつかさどるかげ,やみをつかさどるかげ
4155,ランプの魔人,らんぷのまじん,ランプのまじん
4156,カクタス,かくたす,カクタス
4157,赤き剣のライムンドス,あかきけんのらいむんどす,あかきけんのライムンドス
4158,とろける赤き影,とろけるあかきかげ,とろけるあかきかげ
4159,死神のドクロイゾ,しにがみのどくろいぞ,しにがみのドクロイゾ
4160,ファイヤー・デビル,ふぁいやーでびる,ファイヤー・デビル
4161,ラーバス,らーばす,ラーバス
4162,ハードアーマー,はーどあーまー,ハードアーマー
4163,火炎草,かえんそう,かえんそう
4164,マンイーター,まんいーたー,マンイーター
4165,ディッグ・ビーク,でぃっぐびーく,ディッグ・ビーク
4166,マグネッツ１号,まぐねっついちごう,マグネッツ１ごう
4167,マグネッツ２号,まぐねっつにごう,マグネッツ２ごう
4168,悪魔の知恵,あくまのちえ,あくまのちえ
4169,サファイヤ・リサーク,さふぁいやりさーく,サファイヤ・リサーク
4170,ゼミアの神,ぜみあのかみ,ゼミアのかみ
4171,ジャジメント・ザ・ハンド,じゃじめんとざはんど,ジャジメント・ザ・ハンド
4172,謎の傀儡師,なぞのくぐつし,なぞのくぐつし
4173,太古の壺,たいこのつぼ,たいこのつぼ
4174,暗黒火炎龍,あんこくかえんりゅう,あんこくかえんりゅう
4175,深淵の冥王,しんえんのめいおう,しんえんのめいおう
4176,ハープの精,はーぷのせい,ハープのせい
4177,大王目玉,だいおうめだま,だいおうめだま
4178,アーメイル,あーめいる,アーメイル
4179,ダーク・プリズナー,だーくぷりずなー,ダーク・プリズナー
4180,ハリケル,はりける,ハリケル
4181,魔天老,まてんろう,まてんろう
4182,ファイヤー・アイ,ふぁいやーあい,ファイヤー・アイ
4183,モンスタートル,もんすたーとる,モンスタートル
4184,キラー・ザ・クロー,きらーざくろー,キラー・ザ・クロー
4185,サターナ,さたーな,サターナ
4186,アルラウネ,あるらうね,アルラウネ
4187,ダークシェイド,だーくしぇいど,ダークシェイド
4188,仮面道化,かめんどうけ,かめんどうけ
4189,ホーリー・パワー,ほーりーぱわー,ホーリー・パワー
4190,ジャグラー,じゃぐらー,ジャグラー
4191,コピックス,こぴっくす,コピックス
4192,ミラージュ,みらーじゅ,ミラージュ
4193,ヘルゲート・ディーグ,へるげーとでぃーぐ,ヘルゲート・ディーグ
4194,ファランクス,ふぁらんくす,ファランクス
4195,フュージョニスト,ふゅーじょにすと,フュージョニスト
4196,レッド・エース,れっどえーす,レッド・エース
4197,ララ・ライウーン,らららいうーん,ララ・ライウーン
4198,キーメイス,きーめいす,キーメイス
4199,タートル・タイガー,たーとるたいがー,タートル・タイガー
4200,魔人 テラ,まじんてら,まじん　テラ
4201,ドローン,どろーん,ドローン
4202,アンモ・ナイト,あんもないと,アンモ・ナイト
4203,ゾンビランプ,ぞんびらんぷ,ゾンビランプ
4204,ハッピー・ラヴァー,はっぴーらゔぁー,ハッピー・ラヴァー
4205,ペンギン・ナイト,ぺんぎんないと,ペンギン・ナイト
4206,プチリュウ,ぷちりゅう,プチリュウ
4207,キラーパンダ,きらーぱんだ,キラーパンダ
4208,デーモン・ビーバー,でーもんびーばー,デーモン・ビーバー
4209,ゴースト,ごーすと,ゴースト
4210,マキャノン,まきゃのん,マキャノン
4211,ドローバ,どろーば,ドローバ
4212,グロス,ぐろす,グロス
4213,スピック,すぴっく,スピック
4214,プチテンシ,ぷちてんし,プチテンシ
4215,ダークキラー,だーくきらー,ダークキラー
4216,スティング,すてぃんぐ,スティング
4217,サンダー・キッズ,さんだーきっず,サンダー・キッズ
4218,バビロン,ばびろん,バビロン
4219,アクア・マドール,あくあまどーる,アクア・マドール
4220,紫炎の影武者,しえんのかげむしゃ,シエンのかげむしゃ
4221,フレイム・ゴースト,ふれいむごーすと,フレイム・ゴースト
4222,ドリアード,どりあーど,ドリアード
4223,ブラック・デーモンズ・ドラゴン,ぶらっくでーもんずどらごん,ブラック・デーモンズ・ドラゴン
4224,二つの口を持つ闇の支配者,つーまうすだーくるーらー,ツーマウス・ダークルーラー
4225,ソリテュード,そりてゅーど,ソリテュード
4226,仮面魔道士,かめんまどうし,かめんまどうし
4227,蜘蛛男,くもおとこ,クモおとこ
4228,ミッドナイト・デビル,みっどないとでびる,ミッドナイト・デビル
4229,轟きの大海蛇,とどろきのおおうみへび,とどろきのおおうみへび
4230,トラップ・マスター,とらっぷますたー,トラップ・マスター
4231,呪われし魔剣,のろわれしまけん,のろわれしまけん
4232,デス・ストーカー,ですすとーかー,デス・ストーカー
4233,ヒトデンチャク,ひとでんちゃく,ヒトデンチャク
4234,森の屍,もりのしかばね,もりのしかばね
4235,命の砂時計,いのちのすなどけい,いのちのすなどけい
4236,レア・フィッシュ,れあふぃっしゅ,レア・フィッシュ
4237,ウッド・ジョーカー,うっどじょーかー,ウッド・ジョーカー
4238,魔人銃,まじんがん,マジンガン
4239,暗黒魔神 ナイトメア,あんこくまじんないとめあ,あんこくまじん　ナイトメア
4240,斬首の美女,ざんしゅのびじょ,ざんしゅのびじょ
4241,森の住人 ウダン,もりのじゅうにんうだん,もりのじゅうにん　ウダン
4242,冥界の番人,めいかいのばんにん,めいかいのばんにん
4243,はにわ,はにわ,はにわ
4244,ヤシの木,やしのき,ヤシのき
4245,ヴィシュワ・ランディー,ゔぃしゅわらんでぃー,ヴィシュワ・ランディー
4246,デス・フット,ですふっと,デス・フット
4247,闇の暗殺者,やみのあんさつしゃ,やみのあんさつしゃ
4248,運命のろうそく,うんめいのろうそく,うんめいのろうそく
4249,ウォーター・エレメント,うぉーたーえれめんと,ウォーター・エレメント
4250,マグマン,まぐまん,マグマン
4251,D・ナポレオン,だーくなぽれおん,ダーク・ナポレオン
4252,魂を狩る者,たましいをかるもの,たましいをかるもの
4253,ルート・ウォーター,るーとうぉーたー,ルート・ウォーター
4254,マスター・アン・エキスパート,ますたーあんえきすぱーと,マスター・アン・エキスパート
4255,水の踊り子,みずのおどりこ,みずのおどりこ
4256,氷,ひょう,ヒョウ
4257,恍惚の人魚,こうこつのまーめいど,こうこつのマーメイド
4258,キャッツ・フェアリー,きゃっつふぇありー,キャッツ・フェアリー
4259,エンジェル・魔女,えんじぇるまじょ,エンジェル・まじょ
4260,未熟な悪魔,みじゅくなあくま,みじゅくなあくま
4261,プリヴェント・ラット,ぷりゔぇんとらっと,プリヴェント・ラット
4262,異次元の戦士,いじげんのせんし,いじげんのせんし
4263,ストーン・アルマジラー,すとーんあるまじらー,ストーン・アルマジラー
4264,沼地の魔獣王,ぬまちのまじゅうおう,ぬまちのまじゅうおう
4265,古代魔導士,こだいまどうし,こだいまどうし
4266,月の女神 エルザェム,つきのめがみえるざぇむ,つきのめがみ　エルザェム
4267,悪魔の鏡,でーもんずみらー,デーモンズ・ミラー
4268,アイルの小剣士,あいるのしょうけんし,アイルのしょうけんし
4269,ウォー・アース,うぉーあーす,ウォー・アース
4270,ウィング・エッグ・エルフ,うぃんぐえっぐえるふ,ウィング・エッグ・エルフ
4271,怒りの海王,いかりのかいおう,いかりのかいおう
4272,剣の女王,つるぎのじょおう,つるぎのじょおう
4273,悪の無名戦士,あくのむめいせんし,あくのむめいせんし
4274,闇にしたがう者,やみにしたがうもの,やみにしたがうもの
4275,破壊神 ヴァサーゴ,はかいしんゔぁさーご,はかいしん　ヴァサーゴ
4276,ウェザ,うぇざ,ウェザ
4277,メギラス・ライト,めぎらすらいと,メギラス・ライト
4278,マブラス,まぶらす,マブラス
4279,悟りの老樹,さとりのろうじゅ,さとりのろうじゅ
4280,緑樹の霊王,りょくじゅのれいおう,りょくじゅのれいおう
4281,陸戦型 バグロス,りくせんがたばぐろす,りくせんがた　バグロス
4282,北風と太陽,きたかぜとたいよう,きたかぜとたいよう
4283,ゴーゴン・エッグ,ごーごんえっぐ,ゴーゴン・エッグ
4284,プチモス,ぷちもす,プチモス
4285,キング・スモーク,きんぐすもーく,キング・スモーク
4286,王座の守護者,おうざのしゅごしゃ,おうざのしゅごしゃ
4287,バーサーカー,ばーさーかー,バーサーカー
4288,スリーピィ,すりーぴぃ,スリーピィ
4289,ホログラー,ほろぐらー,ホログラー
4290,陰陽師 タオ,おんみょうしたお,おんみょうし　タオ
4291,デビル・スネーク,でびるすねーく,デビル・スネーク
4292,ゲート・キーパー,げーときーぱー,ゲート・キーパー
4293,黒い影の鬼王,くろいかげのおーが,くろいかげのオーガ
4294,闇の芸術家,だーくあーてぃすと,ダーク・アーティスト
4295,チェンジ・スライム,ちぇんじすらいむ,チェンジ・スライム
4296,月の使者,つきのししゃ,つきのししゃ
4297,炎の魔神,ほのおのまじん,ほのおのまじん
4298,サイコ・カッパー,さいこかっぱー,サイコ・カッパー
4299,伝説の剣豪 MASAKI,でんせつのけんごうまさき,でんせつのけんごう　マサキ
4300,魔装騎士ドラゴネス,まそうきしどらごねす,まそうきしドラゴネス
4301,B・プラント,ばいおぷらんと,バイオ・プラント
4302,一眼の盾竜,わんあいどしーるどどらごん,ワンアイド・シールドドラゴン
4303,魔界の機械兵,まかいのきかいへい,まかいのきかいへい
4304,魔頭を持つ邪竜,まとうをもつじゃりゅう,まとうをもつじゃりゅう
4305,音女,おとめ,オトメ
4306,ドレイク,どれいく,ドレイク
4307,伝説の剣,でんせつのけん,でんせつのけん
4308,闇の破神剣,やみのはしんけん,やみのはしんけん
4309,闇・エネルギー,やみえねるぎー,やみ・エネルギー
4310,デーモンの斧,でーもんのおの,デーモンのおの
4311,レーザー砲機甲鎧,れーざーきゃのんあーまー,レーザーキャノンアーマー
4312,火器付機甲鎧,かきつきいんせくとあーまー,かきつきインセクトアーマー
4313,エルフの光,えるふのひかり,エルフのひかり
4314,猛獣の歯,もうじゅうのは,もうじゅうのは
4315,はがねの甲羅,はがねのこうら,はがねのこうら
4316,魔菌,まきん,まきん
4317,黒いペンダント,ぶらっくぺんだんと,ブラック・ペンダント
4318,銀の弓矢,ぎんのゆみや,ぎんのゆみや
4319,光の角,ひかりのつの,ひかりのつの
4320,一角獣のホーン,いっかくじゅうのほーん,いっかくじゅうのホーン
4321,ドラゴンの秘宝,どらごんのひほう,ドラゴンのひほう
4322,電撃鞭,でんげきむち,でんげきむち
4323,サイバー・ボンテージ,さいばーぼんてーじ,サイバー・ボンテージ
4324,万華鏡－華麗なる分身－,まんげきょうかれいなるぶんしん,まんげきょう－かれいなるぶんしん－
4325,魔性の月,ましょうのつき,ましょうのつき
4326,『守備』封じ,しゅびふうじ,『しゅび』ふうじ
4327,悪魔のくちづけ,あくまのくちづけ,あくまのくちづけ
4328,紫水晶,むらさきすいしょう,むらさきすいしょう
4329,秘術の書,ひじゅつのしょ,ひじゅつのしょ
4330,覚醒,かくせい,かくせい
4331,機械改造工場,きかいかいぞうこうじょう,きかいかいぞうこうじょう
4332,体温の上昇,たいおんのじょうしょう,たいおんのじょうしょう
4333,フォロー・ウィンド,ふぉろーうぃんど,フォロー・ウィンド
4334,ポセイドンの力,ぽせいどんのちから,ポセイドンのちから
4335,ドラゴン族・封印の壺,どらごんぞくふういんのつぼ,ドラゴンぞく・ふういんのつぼ
4336,森,もり,もり
4337,荒野,こうや,こうや
4338,山,やま,やま
4339,草原,そうげん,そうげん
4340,海,うみ,うみ
4341,闇,やみ,やみ
4342,ブラック・ホール,ぶらっくほーる,ブラック・ホール
4343,サンダー・ボルト,さんだーぼると,サンダー・ボルト
4344,モウヤンのカレー,もうやんのかれー,モウヤンのカレー
4345,レッド・ポーション,れっどぽーしょん,レッド・ポーション
4346,ゴブリンの秘薬,ごぶりんのひやく,ゴブリンのひやく
4347,天使の生き血,てんしのいきち,てんしのいきち
4348,治療の神 ディアン・ケト,ちりょうのかみでぃあんけと,ちりょうのかみ　ディアン・ケト
4349,火の粉,ひのこ,ひのこ
4350,ファイヤー・ボール,ふぁいやーぼーる,ファイヤー・ボール
4351,火あぶりの刑,ひあぶりのけい,ひあぶりのけい
4352,昼夜の大火事,ちゅうやのおおかじ,ちゅうやのおおかじ
4353,火炎地獄,かえんじごく,かえんじごく
4354,光の護封剣,ひかりのごふうけん,ひかりのごふうけん
4355,六芒星の呪縛,ろくぼうせいのじゅばく,ろくぼうせいのじゅばく
4356,闇をかき消す光,やみをかきけすひかり,やみをかきけすひかり
4357,ヤランゾ,やらんぞ,ヤランゾ
4358,女剣士カナン,おんなけんしかなん,おんなけんしカナン
4359,タクリミノス,たくりみのす,タクリミノス
4360,くいぐるみ,くいぐるみ,くいぐるみ
4361,メガソニック・アイ,めがそにっくあい,メガソニック・アイ
4362,スーパー・ウォー・ライオン,すーぱーうぉーらいおん,スーパー・ウォー・ライオン
4363,ヤマドラン,やまどらん,ヤマドラン
4364,ホーリー・ナイト・ドラゴン,ほーりーないとどらごん,ホーリー・ナイト・ドラゴン
4365,２人３脚ゾンビ,にんさんきゃくぞんび,２にん３きゃくゾンビ
4366,ゼラ,ぜら,ゼラ
4367,トビペンギン,とびぺんぎん,トビペンギン
4368,千年の盾,せんねんのたて,せんねんのたて
4369,妖精の贈りもの,ようせいのおくりもの,ようせいのおくりもの
4370,カオス・ソルジャー,かおすそるじゃー,カオス・ソルジャー
4371,デビルズ・ミラー,でびるずみらー,デビルズ・ミラー
4372,迷宮壁－ラビリンス・ウォール－,めいきゅうへきらびりんすうぉーる,めいきゅうへき－ラビリンス・ウォール－
4373,地雷蜘蛛,じらいぐも,じらいグモ
4374,シャドウ・グール,しゃどうぐーる,シャドウ・グール
4375,ウォール・シャドウ,うぉーるしゃどう,ウォール・シャドウ
4376,迷宮の魔戦車,めいきゅうのませんしゃ,めいきゅうのませんしゃ
4377,雷魔神－サンガ,らいましんさんが,らいましん－サンガ
4378,風魔神－ヒューガ,ふうましんひゅーが,ふうましん－ヒューガ
4379,水魔神－スーガ,すいましんすーが,すいましん－スーガ
4380,ゲート・ガーディアン,げーとがーでぃあん,ゲート・ガーディアン
4381,ダンジョン・ワーム,だんじょんわーむ,ダンジョン・ワーム
4382,地獄の魔物使い,もんすたーていまー,モンスター・テイマー
4383,ガーゴイル・パワード,がーごいるぱわーど,ガーゴイル・パワード
4384,復讐のソード・ストーカー,ふくしゅうのそーどすとーかー,ふくしゅうのソード・ストーカー
4385,ランプの魔精・ラ・ジーン,らんぷのませいらじーん,ランプのませい・ラ・ジーン
4386,青眼の究極竜,ぶるーあいずあるてぃめっとどらごん,ブルーアイズ・アルティメットドラゴン
4387,トゥーン・アリゲーター,とぅーんありげーたー,トゥーン・アリゲーター
4388,ルード・カイザー,るーどかいざー,ルード・カイザー
4389,パロット・ドラゴン,ぱろっとどらごん,パロット・ドラゴン
4390,ダーク・ラビット,だーくらびっと,ダーク・ラビット
4391,デビル・ボックス,でびるぼっくす,デビル・ボックス
4392,ハーピィズペット竜,はーぴぃずぺっとどらごん,ハーピィズペットドラゴン
4393,魔法のランプ,まほうのらんぷ,まほうのランプ
4394,振り子刃の拷問機械,ふりこやいばのごうもんきかい,ふりこやいばのごうもんきかい
4395,魔導騎士ギルティア,まどうきしぎるてぃあ,まどうきしギルティア
4396,TM－１ランチャースパイダー,てぃーえむわんらんちゃーすぱいだー,ＴＭ－１ランチャースパイダー
4397,デビルゾア,でびるぞあ,デビルゾア
4398,メタル・デビルゾア,めたるでびるぞあ,メタル・デビルゾア
4399,ゾーン・イーター,ぞーんいーたー,ゾーン・イーター
4400,鉄のサソリ,てつのさそり,てつのサソリ
4401,ダンシング・エルフ,だんしんぐえるふ,ダンシング・エルフ
4402,エンゼル・イヤーズ,えんぜるいやーず,エンゼル・イヤーズ
4403,レッグル,れっぐる,レッグル
4404,ラージマウス,らーじまうす,ラージマウス
4405,異国の剣士,いこくのけんし,いこくのけんし
4406,水陸の帝王,すいりくのていおう,すいりくのていおう
4407,牛鬼,うしおに,うしおに
4408,モンスター・アイ,もんすたーあい,モンスター・アイ
4409,レオグン,れおぐん,レオグン
4410,シーホース,しーほーす,シーホース
4411,キラー・マシーン,きらーましーん,キラー・マシーン
4412,カッター・ロボ,かったーろぼ,カッター・ロボ
4413,機械王,きかいおう,きかいおう
4414,機械の巨兵,きかいのきょへい,きかいのきょへい
4415,メタル・ドラゴン,めたるどらごん,メタル・ドラゴン
4416,カラクリ蜘蛛,からくりぐも,カラクリグモ
4417,バット,ばっと,バット
4418,ギガテック・ウルフ,ぎがてっくうるふ,ギガテック・ウルフ
4419,機械の兵隊,きかいのへいたい,きかいのへいたい
4420,シャベル・クラッシャー,しゃべるくらっしゃー,シャベル・クラッシャー
4421,メカ・ハンター,めかはんたー,メカ・ハンター
4422,ブロッカー,ぶろっかー,ブロッカー
4423,ミスター・ボンバー,みすたーぼんばー,ミスター・ボンバー
4424,ゴルゴイル,ごるごいる,ゴルゴイル
4425,ギガント,ぎがんと,ギガント
4426,デビル・フランケン,でびるふらんけん,デビル・フランケン
4427,コマンダー,こまんだー,コマンダー
4428,人造人間７号,じんぞうにんげんななごう,じんぞうにんげん７ごう
4429,ダイス・アルマジロ,だいすあるまじろ,ダイス・アルマジロ
4430,天空竜,すかいどらごん,スカイ・ドラゴン
4431,サンダー・ドラゴン,さんだーどらごん,サンダー・ドラゴン
4432,ストーン・ドラゴン,すとーんどらごん,ストーン・ドラゴン
4433,カイザー・ドラゴン,かいざーどらごん,カイザー・ドラゴン
4434,聖なる魔術師,せいんとまじしゃん,セイント・マジシャン
4435,きまぐれの女神,きまぐれのめがみ,きまぐれのめがみ
4436,水の魔導師,みずのまどうし,みずのまどうし
4437,氷水,こおりみず,こおりみず
4438,ウンディーネ,うんでぃーね,ウンディーネ
4439,エンシェント・エルフ,えんしぇんとえるふ,エンシェント・エルフ
4440,美しき魔物使い,うつくしきまものつかい,うつくしきまものつかい
4441,ウォーター・ガール,うぉーたーがーる,ウォーター・ガール
4442,ホワイト・ドルフィン,ほわいとどるふぃん,ホワイト・ドルフィン
4443,深海に潜むサメ,しんかいにひそむさめ,しんかいにひそむサメ
4444,メタル・フィッシュ,めたるふぃっしゅ,メタル・フィッシュ
4445,神魚,しんぎょ,しんぎょ
4446,レインボー・フィッシュ,れいんぼーふぃっしゅ,レインボー・フィッシュ
